,CorrTime,fltLongitude,fltLatitude,fltSpeed,dtTime,srtAngle,NoOfSat,DoorOpen,IgniStat,ExtBatLevel,IntBatLevel,odo,din3,din4,an1,an2,an3,an4,odometer,zzentrydt,angles,angles_cross,lat_long,distances,deltaT,speed
0,2018-06-19 09:56:56,81.171386,24.488410000000002,6,19-06-2018 04:26,101,,1,1,14303,4003,58,1,1,13840,,300,300,,19-06-2018 04:27,0.0,0.0,"24.488410000000002, 81.171386",0.0,0.0,
1,2018-06-19 09:57:26,81.171962,24.488314000000003,5,19-06-2018 04:27,95,,1,1,14321,4003,60,1,1,13847,,300,300,,19-06-2018 04:28,4.665594429460074,4.665594429460074,"24.488314000000003, 81.171962",0.05934613711435769,0.008333333333333333,7.121536453722923
2,2018-06-19 09:57:44,81.172256,24.48824,6,19-06-2018 04:27,115,,1,1,14316,4003,31,1,1,13834,,300,300,,19-06-2018 04:28,1.2559536745973092,1.2559536745973092,"24.48824, 81.172256",0.03090774201021257,0.005,6.181548402042513
3,2018-06-19 09:58:14,81.172768,24.488123,7,19-06-2018 04:28,99,,1,1,14313,4003,54,1,1,13832,,300,300,,19-06-2018 04:28,0.6548902983321557,0.6548902983321557,"24.488123, 81.172768",0.05349209266845981,0.008333333333333333,6.419051120215178
4,2018-06-19 09:58:44,81.173325,24.487989000000002,6,19-06-2018 04:28,103,,1,1,14315,4003,59,1,1,13831,,300,300,,19-06-2018 04:29,1.4393829414701735,1.4393829414701735,"24.487989000000002, 81.173325",0.058378309145268883,0.008333333333333333,7.005397097432266
5,2018-06-19 09:59:14,81.173862,24.487873999999998,6,19-06-2018 04:29,105,,1,1,14312,4003,57,1,1,13844,,300,300,,19-06-2018 04:29,0.8264936824122137,0.8264936824122137,"24.487873999999998, 81.173862",0.05590328449732699,0.008333333333333333,6.708394139679239
6,2018-06-19 09:59:44,81.17438100000001,24.487755,6,19-06-2018 04:29,102,,1,1,14320,4003,55,1,1,13841,,300,300,,19-06-2018 04:30,1.337541451932998,1.337541451932998,"24.487755, 81.17438100000001",0.05423433938063633,0.008333333333333333,6.50812072567636
7,2018-06-19 10:00:14,81.174918,24.487645,6,19-06-2018 04:30,103,,1,1,14300,4003,57,1,1,13837,,300,300,,19-06-2018 04:31,1.0585471677623293,1.0585471677623293,"24.487645, 81.174918",0.055779794530111525,0.008333333333333333,6.693575343613383
8,2018-06-19 10:00:44,81.175462,24.487544,6,19-06-2018 04:30,99,,1,1,14308,4003,57,1,1,13825,,300,300,,19-06-2018 04:31,3.445886116208673,3.445886116208673,"24.487544, 81.175462",0.056265807923917555,0.008333333333333333,6.7518969508701066
9,2018-06-19 10:01:14,81.17599399999999,24.487478,6,19-06-2018 04:31,94,,1,1,14309,4003,55,1,1,13834,,300,300,,19-06-2018 04:31,1.9250456615184957,1.9250456615184957,"24.487478, 81.17599399999999",0.05441934048598574,0.008333333333333333,6.530320858318289
10,2018-06-19 10:01:45,81.176538,24.487429000000002,6,19-06-2018 04:31,94,,1,1,14316,4003,56,1,1,13827,,300,300,,19-06-2018 04:32,4.533521866245144,4.533521866245144,"24.487429000000002, 81.176538",0.055408934932718944,0.008611111111111111,6.434585992186716
11,2018-06-19 10:02:14,81.17700500000001,24.487424,6,19-06-2018 04:32,87,,1,1,14306,4003,48,1,1,13831,,300,300,,19-06-2018 04:33,0.8169582869731578,0.8169582869731578,"24.487424, 81.17700500000001",0.0473406299329209,0.008055555555555555,5.876767853741906
12,2018-06-19 10:02:44,81.17756800000001,24.487426,6,19-06-2018 04:32,88,,1,1,14312,4003,58,1,1,13838,,300,300,,19-06-2018 04:33,1.8060172642879002,1.8060172642879002,"24.487426, 81.17756800000001",0.05706884762327283,0.008333333333333333,6.84826171479274
13,2018-06-19 10:03:14,81.178138,24.487446,6,19-06-2018 04:33,89,,1,1,14301,4003,59,1,1,13820,,300,300,,19-06-2018 04:33,1.3204625440253126,1.3204625440253126,"24.487446, 81.178138",0.057820420386901,0.008333333333333333,6.938450446428121
14,2018-06-19 10:03:44,81.17872,24.487453,6,19-06-2018 04:33,87,,1,1,14301,4003,60,1,1,13832,,300,300,,19-06-2018 04:34,1.6968527614438818,1.6968527614438818,"24.487453, 81.17872",0.0589994336188569,0.008333333333333333,7.0799320342628285
15,2018-06-19 10:04:14,81.179296,24.487477,6,19-06-2018 04:34,87,,1,1,14300,4003,59,1,1,13835,,300,300,,19-06-2018 04:34,1.7828528361966394,1.7828528361966394,"24.487477, 81.179296",0.058446629864138656,0.008333333333333333,7.013595583696639
16,2018-06-19 10:04:44,81.179866,24.487482999999997,6,19-06-2018 04:34,89,,1,1,14307,4003,59,1,1,13832,,300,300,,19-06-2018 04:35,3.204143986804166,3.204143986804166,"24.487482999999997, 81.179866",0.057781768683385866,0.008333333333333333,6.933812242006304
17,2018-06-19 10:05:14,81.180422,24.48752,6,19-06-2018 04:35,88,,1,1,14307,4003,58,1,1,13828,,300,300,,19-06-2018 04:36,0.30031159785266126,0.30031159785266126,"24.48752, 81.180422",0.05650764430405383,0.008333333333333333,6.78091731648646
18,2018-06-19 10:05:44,81.18097900000001,24.487560000000002,6,19-06-2018 04:35,83,,1,1,14311,4003,58,1,1,13812,,300,300,,19-06-2018 04:36,2.679038579758967,2.679038579758967,"24.487560000000002, 81.18097900000001",0.05663375258052525,0.008333333333333333,6.79605030966303
19,2018-06-19 10:06:14,81.18154200000001,24.487627,6,19-06-2018 04:36,81,,1,1,14308,4003,59,1,1,13833,,300,300,,19-06-2018 04:36,4.585467560545752,4.585467560545752,"24.487627, 81.18154200000001",0.05754885711861783,0.008333333333333333,6.90586285423414
