CorrTime,fltLongitude,fltLatitude,fltSpeed,dtTime,srtAngle,NoOfSat,DoorOpen,IgniStat,ExtBatLevel,IntBatLevel,odo,din3,din4,an1,an2,an3,an4,odometer,zzentrydt
19-06-2018 09:56:56,81.171386,24.48841,6,19-06-2018 04:26,101,,1,1,14303,4003,58,1,1,13840,,300,300,,19-06-2018 04:27
19-06-2018 09:57:26,81.171962,24.488314,5,19-06-2018 04:27,95,,1,1,14321,4003,60,1,1,13847,,300,300,,19-06-2018 04:28
19-06-2018 09:57:44,81.172256,24.48824,6,19-06-2018 04:27,115,,1,1,14316,4003,31,1,1,13834,,300,300,,19-06-2018 04:28
19-06-2018 09:58:14,81.172768,24.488123,7,19-06-2018 04:28,99,,1,1,14313,4003,54,1,1,13832,,300,300,,19-06-2018 04:28
19-06-2018 09:58:44,81.173325,24.487989,6,19-06-2018 04:28,103,,1,1,14315,4003,59,1,1,13831,,300,300,,19-06-2018 04:29
19-06-2018 09:59:14,81.173862,24.487874,6,19-06-2018 04:29,105,,1,1,14312,4003,57,1,1,13844,,300,300,,19-06-2018 04:29
19-06-2018 09:59:44,81.174381,24.487755,6,19-06-2018 04:29,102,,1,1,14320,4003,55,1,1,13841,,300,300,,19-06-2018 04:30
19-06-2018 10:00:14,81.174918,24.487645,6,19-06-2018 04:30,103,,1,1,14300,4003,57,1,1,13837,,300,300,,19-06-2018 04:31
19-06-2018 10:00:44,81.175462,24.487544,6,19-06-2018 04:30,99,,1,1,14308,4003,57,1,1,13825,,300,300,,19-06-2018 04:31
19-06-2018 10:01:14,81.175994,24.487478,6,19-06-2018 04:31,94,,1,1,14309,4003,55,1,1,13834,,300,300,,19-06-2018 04:31
19-06-2018 10:01:45,81.176538,24.487429,6,19-06-2018 04:31,94,,1,1,14316,4003,56,1,1,13827,,300,300,,19-06-2018 04:32
19-06-2018 10:02:14,81.177005,24.487424,6,19-06-2018 04:32,87,,1,1,14306,4003,48,1,1,13831,,300,300,,19-06-2018 04:33
19-06-2018 10:02:44,81.177568,24.487426,6,19-06-2018 04:32,88,,1,1,14312,4003,58,1,1,13838,,300,300,,19-06-2018 04:33
19-06-2018 10:03:14,81.178138,24.487446,6,19-06-2018 04:33,89,,1,1,14301,4003,59,1,1,13820,,300,300,,19-06-2018 04:33
19-06-2018 10:03:44,81.17872,24.487453,6,19-06-2018 04:33,87,,1,1,14301,4003,60,1,1,13832,,300,300,,19-06-2018 04:34
19-06-2018 10:04:14,81.179296,24.487477,6,19-06-2018 04:34,87,,1,1,14300,4003,59,1,1,13835,,300,300,,19-06-2018 04:34
19-06-2018 10:04:44,81.179866,24.487483,6,19-06-2018 04:34,89,,1,1,14307,4003,59,1,1,13832,,300,300,,19-06-2018 04:35
19-06-2018 10:05:14,81.180422,24.48752,6,19-06-2018 04:35,88,,1,1,14307,4003,58,1,1,13828,,300,300,,19-06-2018 04:36
